danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,primary_genre
0.679,0.876,4,-5.827,0,0.07,0.00396,0.0933,0.12,97.981,160494,Pop
0.624,0.637,5,-5.912,0,0.166,1.07e-05,0.18,0.55,164.184,223688,Pop
0.661,0.518,9,-10.033,1,0.032,0.0033,0.365,0.217,101.904,194717,Pop
0.608,0.899,3,-5.642,0,0.0576,0.0108,0.114,0.649,116.04,236772,Pop
0.597,0.945,11,-4.347,1,0.0318,0.666,0.107,0.816,118.974,174429,Pop
0.757,0.534,1,-6.95,1,0.0607,0.0,0.027,0.612,132.943,249166,Pop
0.683,0.715,8,-5.791,0,0.107,0.00309,0.109,0.386,97.029,173087,Pop
0.566,0.408,6,-10.62,0,0.0435,0.00168,0.0995,0.129,120.064,228014,R&B
0.628,0.626,10,-6.921,0,0.0364,0.000144,0.111,0.36,139.997,211342,R&B
0.789,0.558,0,-4.741,1,0.0531,0.0,0.104,0.523,101.038,137775,Pop
0.609,0.728,1,-7.279,0,0.042,0.0,0.0888,0.517,166.053,212823,Pop
0.603,0.581,0,-6.04,1,0.0333,0.00399,0.144,0.153,121.049,191699,Pop
0.559,0.58,8,-5.293,0,0.0932,0.0,0.109,0.431,177.047,169109,Pop
0.655,0.78,7,-5.622,0,0.0486,0.0,0.332,0.659,116.027,174170,Pop
0.515,0.875,9,-5.708,0,0.0364,0.418,0.218,0.497,165.991,221378,Pop
0.624,0.858,0,-5.222,1,0.0252,0.0,0.136,0.823,93.038,171480,Pop
0.647,0.798,7,-6.72,1,0.0326,0.204,0.1,0.446,131.981,215024,Pop
0.653,0.216,3,-13.426,0,0.0323,0.0525,0.12,0.287,117.028,224022,Pop
0.487,0.259,0,-10.441,0,0.0291,0.000563,0.131,0.314,107.899,137546,Pop
0.442,0.581,3,-6.471,1,0.0315,0.00074,0.116,0.195,77.058,231712,Pop
0.674,0.652,10,-6.51,1,0.032,0.0177,0.11,0.586,95.517,300387,Pop
0.592,0.631,7,-9.515,1,0.0479,2.23e-06,0.0858,0.506,88.031,132955,Pop
0.643,0.47,1,-6.043,0,0.0263,0.0,0.132,0.442,126.035,279987,Pop
0.756,0.74,4,-5.788,0,0.0336,0.00074,0.101,0.629,119.988,194173,Pop
0.429,0.704,2,-6.803,1,0.0373,3.17e-05,0.125,0.554,82.025,190610,Pop
0.573,0.601,1,-7.539,1,0.0367,0.0,0.0688,0.336,155.915,225053,Pop
0.788,0.678,4,-8.584,0,0.0386,0.233,0.141,0.39,120.019,220000,Rap
0.62,0.476,11,-12.759,0,0.0724,0.0,0.135,0.602,161.168,194240,Rap
0.603,0.611,0,-7.787,0,0.0478,0.0,0.109,0.317,86.001,161163,Pop
0.829,0.597,0,-7.962,0,0.0345,0.0,0.11,0.782,113.011,223093,R&B
0.864,0.642,5,-6.342,0,0.0514,0.0,0.22,0.622,129.995,199385,Rap
0.787,0.586,10,-9.64,1,0.0695,0.000311,0.118,0.581,140.036,210862,Rap
0.635,0.312,7,-8.134,1,0.0265,0.0,0.138,0.414,98.017,240118,R&B
0.455,0.566,11,-8.763,0,0.142,5.24e-05,0.696,0.393,119.935,220834,Pop
0.756,0.648,0,-5.287,1,0.0731,0.0,0.515,0.657,80.979,166146,Rap
0.959,0.47,0,-11.53,1,0.166,0.0,0.0806,0.964,129.995,134880,Rap
0.635,0.694,1,-3.549,1,0.159,0.0,0.141,0.398,85.809,270131,Rap
0.389,0.518,7,-7.679,0,0.12,0.0688,0.182,0.0392,78.114,239715,Rap
0.77,0.762,1,-4.298,1,0.118,0.0,0.0809,0.326,141.052,172023,Rap
0.817,0.433,6,-7.26,1,0.0501,1.52e-06,0.106,0.9,111.059,225499,Rap
0.573,0.483,0,-9.313,0,0.141,6.92e-06,0.266,0.301,192.101,152521,Pop
0.563,0.58,10,-8.226,1,0.0836,0.0,0.134,0.14,79.194,163353,Pop
