,word,count,artist,weight
774,hours,4,Rich Brian,0.0007597340930674264
275,uhi,4,Rich Brian,0.0007597340930674264
511,break,4,Rich Brian,0.0007597340930674264
1202,somethin,4,Rich Brian,0.0007597340930674264
218,orca,4,Rich Brian,0.0007597340930674264
220,hand,4,Rich Brian,0.0007597340930674264
753,change,4,Rich Brian,0.0007597340930674264
755,worth,4,Rich Brian,0.0007597340930674264
232,killin,4,Rich Brian,0.0007597340930674264
1273,miss,4,Rich Brian,0.0007597340930674264
1221,cut,4,Rich Brian,0.0007597340930674264
242,us,4,Rich Brian,0.0007597340930674264
546,livin,4,Rich Brian,0.0007597340930674264
543,post,4,Rich Brian,0.0007597340930674264
247,neck,4,Rich Brian,0.0007597340930674264
1233,lamborghini,4,Rich Brian,0.0007597340930674264
1243,real,4,Rich Brian,0.0007597340930674264
0,intro,4,Rich Brian,0.0007597340930674264
179,hoes,4,Rich Brian,0.0007597340930674264
165,huh,4,Rich Brian,0.0007597340930674264
162,ronny,4,Rich Brian,0.0007597340930674264
817,camera,4,Rich Brian,0.0007597340930674264
1101,first,4,Rich Brian,0.0007597340930674264
1315,buy,4,Rich Brian,0.0007597340930674264
696,cloves,4,Rich Brian,0.0007597340930674264
485,mind,4,Rich Brian,0.0007597340930674264
845,forgot,4,Rich Brian,0.0007597340930674264
177,niggas,4,Rich Brian,0.0007597340930674264
493,mean,4,Rich Brian,0.0007597340930674264
317,disturb,4,Rich Brian,0.0007597340930674264
163,j,4,Rich Brian,0.0007597340930674264
744,wake,3,Rich Brian,0.0005698005698005698
731,clock,3,Rich Brian,0.0005698005698005698
609,forget,3,Rich Brian,0.0005698005698005698
496,barely,3,Rich Brian,0.0005698005698005698
421,ego,3,Rich Brian,0.0005698005698005698
853,onei,3,Rich Brian,0.0005698005698005698
885,today,3,Rich Brian,0.0005698005698005698
682,smart,3,Rich Brian,0.0005698005698005698
676,fucked,3,Rich Brian,0.0005698005698005698
430,runnin,3,Rich Brian,0.0005698005698005698
550,eh,3,Rich Brian,0.0005698005698005698
415,birthday,3,Rich Brian,0.0005698005698005698
478,iti,3,Rich Brian,0.0005698005698005698
1859,morei,3,Rich Brian,0.0005698005698005698
611,mystery,3,Rich Brian,0.0005698005698005698
907,fun,3,Rich Brian,0.0005698005698005698
612,took,3,Rich Brian,0.0005698005698005698
798,cry,3,Rich Brian,0.0005698005698005698
884,song,3,Rich Brian,0.0005698005698005698
667,mirror,3,Rich Brian,0.0005698005698005698
629,five,3,Rich Brian,0.0005698005698005698
812,best,3,Rich Brian,0.0005698005698005698
680,picture,3,Rich Brian,0.0005698005698005698
617,mercury,3,Rich Brian,0.0005698005698005698
883,drop,3,Rich Brian,0.0005698005698005698
694,smoke,3,Rich Brian,0.0005698005698005698
441,less,3,Rich Brian,0.0005698005698005698
651,fake,3,Rich Brian,0.0005698005698005698
564,upi,3,Rich Brian,0.0005698005698005698
835,nothin,3,Rich Brian,0.0005698005698005698
586,liked,3,Rich Brian,0.0005698005698005698
1839,road,3,Rich Brian,0.0005698005698005698
876,two,3,Rich Brian,0.0005698005698005698
498,fucking,3,Rich Brian,0.0005698005698005698
687,sorry,3,Rich Brian,0.0005698005698005698
434,full,3,Rich Brian,0.0005698005698005698
778,favorite,3,Rich Brian,0.0005698005698005698
622,takin,3,Rich Brian,0.0005698005698005698
571,r,3,Rich Brian,0.0005698005698005698
320,shiny,3,Rich Brian,0.0005698005698005698
1818,goddamn,3,Rich Brian,0.0005698005698005698
1048,puttin,3,Rich Brian,0.0005698005698005698
1301,send,3,Rich Brian,0.0005698005698005698
230,gin,3,Rich Brian,0.0005698005698005698
1262,born,3,Rich Brian,0.0005698005698005698
1261,quit,3,Rich Brian,0.0005698005698005698
1260,ever,3,Rich Brian,0.0005698005698005698
1257,pay,3,Rich Brian,0.0005698005698005698
1209,visa,3,Rich Brian,0.0005698005698005698
290,fightin,3,Rich Brian,0.0005698005698005698
1156,sean,3,Rich Brian,0.0005698005698005698
1141,probably,3,Rich Brian,0.0005698005698005698
1140,songs,3,Rich Brian,0.0005698005698005698
1098,vision,3,Rich Brian,0.0005698005698005698
1094,name,3,Rich Brian,0.0005698005698005698
318,booth,3,Rich Brian,0.0005698005698005698
1092,sittin,3,Rich Brian,0.0005698005698005698
1706,finna,3,Rich Brian,0.0005698005698005698
1084,greatest,3,Rich Brian,0.0005698005698005698
326,open,3,Rich Brian,0.0005698005698005698
1709,cash,3,Rich Brian,0.0005698005698005698
1076,trust,3,Rich Brian,0.0005698005698005698
1067,fall,3,Rich Brian,0.0005698005698005698
206,throat,3,Rich Brian,0.0005698005698005698
197,dope,3,Rich Brian,0.0005698005698005698
129,watchin,3,Rich Brian,0.0005698005698005698
1433,meand,3,Rich Brian,0.0005698005698005698
1428,fit,3,Rich Brian,0.0005698005698005698
1406,sound,3,Rich Brian,0.0005698005698005698
99,startin,3,Rich Brian,0.0005698005698005698
107,trouble,3,Rich Brian,0.0005698005698005698
1391,sick,3,Rich Brian,0.0005698005698005698
114,seei,3,Rich Brian,0.0005698005698005698
1384,throw,3,Rich Brian,0.0005698005698005698
1377,sure,3,Rich Brian,0.0005698005698005698
