,track,album,artist,popularity,featured,release_date,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,lyrics,filtered_lyrics
153,Little Prince (feat. NIKI),Amen,Rich Brian,51,NIKI,2018-02-02,3jKJnHixssQxdCShjpirKQ,0.909,0.414,0,-7.337,1,0.0514,2.49e-05,0.109,0.761,139.963,172445,4,missing,missing
154,Arizona (feat. AUGUST 08),Amen,Rich Brian,44,AUGUST 08,2018-02-02,3q0UN40vV6mI7TT560Ry5l,0.651,0.526,8,-10.886,1,0.356,0.0,0.386,0.509,95.049,292381,4,missing,missing
155,Can't Stop This Party,Can't Stop This Party,Seori,45,Seori,2022-03-22,1FP2jE6moLiHoNUaWTUyJc,0.729,0.409,10,-9.643,0,0.137,0.00125,0.2,0.37,87.975,222849,4,missing,missing
156,긴 밤 (feat. GIRIBOY),긴 밤 (feat. GIRIBOY),Seori,58,GIRIBOY,2021-06-10,5YAO57ujV1cs5eubzyOL1E,0.722,0.514,1,-5.709,0,0.0487,0.0,0.3,0.59,129.997,210853,4,missing,missing
157,Dive with you (feat. eaJ),Dive with you (feat. eaJ),Seori,60,eaJ,2021-08-22,5RqwjQWDwxQ3HTkOfXTrS6,0.724,0.675,0,-6.487,1,0.148,0.000232,0.0852,0.544,94.027,218240,4,missing,missing
158,Who Escaped?,?depacse ohw,Seori,44,Seori,2020-05-12,4YEUL0JWPpHsAek1w6HrX7,0.616,0.492,9,-5.402,1,0.0782,0.000164,0.389,0.204,95.14,80973,4,missing,missing
159,Bad Haircut (feat. JVKE),oh to be in love,Stephanie Poetri,55,JVKE,2022-03-18,0b8HcbULuUTZI07s1q7o4K,0.629,0.43,10,-10.55,1,0.0324,1.57e-05,0.117,0.451,76.983,222167,4,missing,missing
160,Please Don't Die Before I Do,oh to be in love,Stephanie Poetri,28,Stephanie Poetri,2022-03-18,6lnu1x2ePMcCwH8KhAORud,0.42,0.216,2,-10.425,1,0.0374,3.15e-05,0.0798,0.437,81.613,128468,4,missing,missing
161,Matamu - Acoustic,AM:PM (Acoustic),Stephanie Poetri,31,Stephanie Poetri,2021-09-28,1pKQ0oGgU8rzj4wZ300bnm,0.627,0.373,3,-5.956,1,0.0313,0.0,0.147,0.558,114.908,225440,3,missing,missing
162,Appreciate - English Version,Appreciate (English Version),Stephanie Poetri,31,Stephanie Poetri,2019-04-19,7fvr9JMI9DCuty3882lZ9t,0.664,0.831,0,-4.39,1,0.0765,4.16e-06,0.123,0.388,119.991,235627,4,missing,missing
