,artist,lyrics
20,BIBI,배가 고프다면 밥을마음이 허전하면 단짝 친구들사랑이 부족하면 나를빠르고 간편하게 삼켜 주세요가슴이 두근두근 얼굴이 발그레해자꾸만 생각나요 뭐 잘못된 건가요잠에 밤이 안 오고 말을 더듬거려요그럼 나는 어떡하죠Fill me fill you i got some loveFeel me feel you i got some loveFeed me feed you with my loveFill me fill you with my l o v e말문이 막힐 때는 나를숨 쉬지 못할 만큼 꽉 안아보세요주눅이 들었다면 너를괜찮아질 때까지 토닥여줄게요사랑은 어려워요 마음은 복잡하고아직은 서툴러요 뭐 잘못된 건가요좋아한다고 나를 솔직히 말해줘요내 눈을 바라봐줘요Fill me fill you i got some loveFeel me feel you i got some loveFeed me feed you with my loveFill me fill you with my l o v e
21,BIBI,"[Verse 1]Nobody told meI can have the whole chocolateSo I fed it to my buddyNobody told meI get grands for hour and halfSo I sold it for one hunnit[Pre-Chorus]Yeah, I allow myself to lose it, to lose itAllow myself to lose itYeah, allow myself to lose it, to lose itAllow myself to lose it[Chorus]'Cause I sold it for one hunnitSold it for one hunnitI sold it for one hunnitYeah, I allow myself to lose it[Verse 2]Nobody told meI can taste my own birthday cakeSo I kept it in my closetNobody told meI can throw myself, to doomsday lakeSo I let myself go lose it"
22,BIBI,"[비비 ""Wet Nightmare"" 가사][Verse 1]Pop champagne all nightPut the chandelier up highBodies on my bedAll my baddies gonna up all night, hah, hah-hah-hah-hahBang, hard to say goodbyeYou were my favorite thing 'til nowBodies on the deckCold water is up your neckLeast loved will be there say, ""Hi""[Pre-Chorus]Baby, tell me whyYou keep showing up in my dream매일 밤 너를 찾던 그 시간에[Chorus]Oh-oh, oh-oh, oh-oh, ohIn my wet nightmareOh-oh, oh-oh, oh-oh, ohVisit my wet night terror[Verse 2]Love got me hauntedGot me trapped inBaby, got me stuck inside your heartYour body got me drowningGot me soakingBaby, got me stuck inside your heartYou’re pretty even dyingEven ghostingPretty even 'cause you broke my heartLove got you hauntedGot you trapped inBaby, got you stuck inside my heart[Pre-Chorus]Baby, tell me whyYou keep showing up in my dream매일 밤 너를 찾던 그 시간에"
23,BIBI,missing
24,BIBI,missing
25,BIBI,Open your eyesMind your own businessOwn business and IKeep yourself low아무도 내게 손 뻗을 수 없게그 누구의 온기도나를 돕는 손길도뿌리치고 나 홀로 이곳에 서있다But I go high(Yeah)But I go high난 난 난무너지지 않아I’m going highPull me down with your tongueI’m a starTry to take me down and wave me goodbye내 어깰 밀고 가는 동안내 목을 밟고 있는 동안 난Pull you down with my voiceFalling starsIf you need it I can be sacrificed나 자신을 안고 있는 동안나를 깎아내려도 좋아 cause
26,BIBI,missing
27,BIBI,missing
28,BIBI,missing
29,BIBI,"[비비 ""Fly with me"" 가사][Verse 1]With stony eyesWhat are you looking forWith snowy faceWhy are you look so blue회색빛깔 바래진 도시는너를 더 바라보게 만드네[Chorus]Fly with me why don't you, fly with meThrough the starsFly with me why don't you, fly with meThrough the night[Verse 2]이 빛들은 슬픈 너를 비추고네 색들은 이 공간을 채우니철창 안에 가둬진 새처럼나를 기다린 것만 같아서[Chorus]Fly with me why don't you, fly with meThrough the starsFly with me why don't you, fly with meThrough the night[Verse 3]사람들은 모르지 우리가 높은지손을 잡고 가보자 어디든달빛이 비추는 곳으로별빛이 우릴 반기는 곳Baby 아 그대의 미소를한번 볼 수만 있다면Venus, Earth to Mars, Jupiter데려가 줄 텐데[Chorus]Fly with me why don't you, fly with me눈 덮인 언덕 위를 지나Fly with me why don't you, fly with meThrough the night"
30,BIBI,"[비비 ""Timeless"" 가사]깊은 어둠 속 그 곳에길을 잃은 날 버렸었지아득한 그 곳갇혀져 버린나의 모습들이이곳엔 없어사라진 시간을 벗어나Inside of me멈춰진 시간들잃어버린모든 것들I’ll find you점점 멀어져 멀리 흩어져 흐릿해 보인다 해도이곳에 난 찾을 거야알 수 없었던 거짓도볼 수 없었던 이야기도좀 더 선명히한 발 가까이보일 수 있도록"
31,BIBI,"[비비 ""Give More Care Less"" 가사][Chorus]Give a little more, give a little moreCare a little less, care a little lessGive a little more, give a little moreCare a little less, care a little lessGive a little more, give a little moreCare a little less, care a little lessGive a little more, give a little moreCare a little less, care a little less[Verse 1]Give a little more, give a little more지금 give a less care on my ring-ring, baby내일이 되면 모레가 되면 우린마주쳐도 얼굴 붉히지 않게Chicks gonna get youChicks gonna hate youChicks tryna keep youIn her feelings too근데 걔는 모르지 너를 지갑 속에혹은 디올 백에 넣을 수 없으니You nice, give 'er that I knowSo I'm gonna take itNot gonna keep itLet things go onLet things just flow[Chorus]Give a little more, give a little more (Give a little more)Care a little less, care a little less (Care a little less)Give a little more, give a little more (Oh)Care a little less, care a little less (Care a little less)Give a little more, give a little moreCare a little less, care a little lessGive a little more, give a little more (Give a little more, give a little more)Care a little less, care a little less (Care a little less)"
32,CHUNG HA,"[청하 ""SPARKLING"" 가사][Verse 1]Come and talk to me, baby뭐든 콕 찝어 말을 해줘 (La-la, la, la)사소한 것까지 (Love me)Tell me what to do, what to doTouch, 딱 한번에 설레는 게 (Ah-hoo)Ouch, 따끔한 듯 상큼하게 (Ah-hoo)어쩜 아찔한 듯 위험해Tell me what to do, what to do[Pre-Chorus]조심스럽게 (Ah, yah, ooh)터져버리지 않게, no거품처럼 사라지지 않게, away (Sparkle)[Chorus]나를 톡 쏘게 만들어줘Oh, baby, you're all mine, mine, I, I, I천천히 열어봐줘Oh, baby, you're all mine, mine, I, I, I (Drop it)So, oh-oh, oh-oh-oh, you make me sparkle (Ah)Oh, oh-oh, oh-oh-oh, I'll be your sparkleSparkling[Verse 2]구슬처럼 터진 flavor (No-no)구름처럼, oh, my favorite (Take me all the way)꿈결 같애, oh, 나를 볼 때Fallin', lovin', I'ma dive inGosh, 화끈 달아오른 듯해 (Ah-hoo)Crush, 애가 타고 안달 나게 (Ah-hoo)더 짜릿한 게 필요해Tell me what to do, what to do[Pre-Chorus]조심스럽게 (Ah, yah, ooh)흔들리지 않게, no커진 내 마음 넘치지 않게, oh (Sparkle)"
33,CHUNG HA,"[청하 ""XXXX"" 가사][Intro](Fuck)Shit, 날카로운 상처 조각 위에비춰진 내 모습은, na-na-na, 난위험하게 더 빛나, na (Yeah, yeah, yeah)[Verse 1]You, you feelin' me feelin' sharp and riskyShaped like diamond (Yeah)Now, come beg on my feet뭐든 빛나 보이지, like diamond (Diamond)아름답게 베인 듯유리 파편 속에 새로 비친 beauty (Yeah; Beauty)Uh, reflecting different parts of me diversely (Oh, yeah)[Pre-Chorus]Tear me do-do-do-do-do-do-down (Do-do-do-down)망설이지 말고, hit me harder (Hit me harder)Dare me do-do-do-do-do-do-down (Down, down, oh)보여줄게 다, 'cause I'm a fighter[Chorus]깨져버린 맘은 고스란히, yeah, oh(Tear, tear me down, tear me down, tear me down)I won't cover up anymoreShattered pieces shine on the floor흩어져 간 빛은 더 다양히, yeah, oh(Dare, dare me down, dare me down, dare me down)Guess, I should be thanking you forGlittered pieces shine on the floor[Verse 2]Ain't gonna waste my timeGracefully facing you haters cryOut of my way, don't mindGibber and gabber, go get a life (Ooh)I got the game, I'm on the reignStuck in my trap now, obeyNo reason to vile in the back, backHouse of the clown, make me crack, crack"
34,CHUNG HA,"[청하 ""Louder"" 가사][Verse 1]Hey, 또 무슨 걱정해Say, 다 털어놔 줄래 (다 털어놔 줄래)No matter what it is, I will be listeningWay, 끌리는 대로 해 (끌리는 대로 해)[Pre-Chorus]힘차게 달려봐 원하는 곳에 (Ah-ah-ah)시작해 너만의 미래 (Free)[Chorus]네 맘속 그 목소리를, louder, louder신경 쓰지 말자, all the hater, haterIt's time to raise our voice (Raise our voice)Let's go and make some noise날개로 펼쳐가는, future, future[Breakdown]Hey!Hey!Louder, louder[Verse 2]Pray, 간절한 마음 들리게Okay, 그래 넌 이미 충분해 (이미 충분해)움츠려 들었던 시간들 속에서 (Yeah, you are)Brave, 훨씬 더 강해졌단 걸[Pre-Chorus]힘들 땐 언제나 쉬어가도 돼 (Ah-ah-ah)선택은 온전히 네게 (네게-게-게)[Chorus]네 맘속 그 목소리를, louder, louder신경 쓰지 말자, all the hater, haterIt's time to raise our voice (Raise our voice)Let's go and make some noise날개로 펼쳐가는, future, futurе"
35,CHUNG HA,missing
36,CHUNG HA,"[청하 ""California Dream"" 가사][Verse 1]돌아보는 일상 끝에지친 나를 또 한 번 발견해, broken다 벗어던져 떠나 볼래, hmm-hmm엉킨 감정들이 마음껏 헤엄칠 ocean[Pre-Chorus]매일 밤 꿈에서 그려봐저 romantic한 한줄기의 빛을 따라[Chorus]반짝반짝한 거리 춤추자 다 같이Come on, California girls신나게 on the beachOn the West CoastBaby, let's go, let's goGimme that Hollywood heatMy California dream[Post-Chorus]Ooh-ooh-ooh-ooh-ooh, my California dreamOoh-ooh-ooh-ooh-ooh, that's where I wanna beOoh-ooh-ooh-ooh-ooh, my California dreamOn the West Coast, baby, let's go, let's go"
