,song name,album,artist,popularity,featured,release_date,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
72,Love & hate (Feat. BIBI),RANDOM BOX,ZICO,45,BIBI,2020-07-01,61IDvkbJDswvorhLqcplMW,0.807,0.647,11,-3.628,1,0.0562,0.0,0.085,0.535,104.968,196867,4
73,Meu Tempo (Feat. BIBI & Simon Dominic) (Prod. GRAY),School Rapper4 Semi Final 1,Various Artists,46,Simon Dominic,2021-04-10,1nM7C8olIT4wk6Fji2ILYd,0.754,0.888,7,-1.959,1,0.0658,3.71e-05,0.0793,0.621,105.035,197714,4
74,Galipette - BIBI Remix,Galipette (BIBI Remix),Lolo Zouaï,46,BIBI,2021-08-26,7x5xZs5VbPxNsdmGAj6Hch,0.727,0.644,0,-4.919,1,0.0524,0.0,0.648,0.638,144.979,122638,4
75,froyo (feat. Warren Hue),Head In The Clouds Forever,88rising,46,Rich Brian,2022-04-16,1pEewu35ctFmfOQ6ObwQuq,0.508,0.688,0,-5.483,0,0.136,0.0,0.157,0.335,145.089,309121,4
76,FEVER,FEVER,J.Y. Park,49,BIBI,2019-12-01,0x9Vpw90j9fDb669IydnHL,0.832,0.827,0,-2.932,1,0.144,6.02e-06,0.0949,0.809,95.963,173925,4
77,Fedexx Girl (Feat. 창모),사랑하는 사람들을 위한 지침서,BIBI,44,CHANGMO,2019-06-12,2NBAwbspdemK8N2lerVXDz,0.648,0.523,1,-9.368,1,0.064,0.0,0.134,0.352,90.995,209000,4
78,WHY Y (Feat. Tiger JK),WHY Y,BIBI,43,Tiger JK,2021-07-27,7k9rM0ZCWUn5Dg1t0vj0vi,0.687,0.745,1,-3.671,1,0.0413,0.0,0.172,0.493,99.999,186533,4
79,Te Quiero(feat.BIBI),K.I.S.S,twlv,42,BIBI,2020-01-18,1CxgsJPNnz5X3j92ky5mie,0.448,0.662,11,-5.843,0,0.0505,0.0,0.187,0.12,93.12,194645,4
80,AUTOMATIC REMIX,AUTOMATIC REMIX,Various Artists,49,LeeHi,2020-11-05,2lCinwx9z9Fmr8kcXDei0c,0.741,0.654,7,-5.485,0,0.0495,0.0,0.436,0.539,100.003,938893,4
81,Pretty Ting (Feat. 김승민),사랑하는 사람들을 위한 지침서,BIBI,43,Kim Seungmin,2019-06-12,2sYSm57KSNxOF9gz3qWLMX,0.606,0.763,6,-5.504,0,0.274,0.0,0.113,0.417,165.986,175000,3
82,Fly with me,THE FAN 4ROUND Part.2,BIBI,39,BIBI,2019-01-19,4GOuXgEtvG7LrCK4RQ0UaQ,0.369,0.405,2,-5.972,0,0.0325,0.0,0.395,0.15,112.903,202398,3
83,Timeless,괴물 (Original Television Soundtrack) Pt. 2,BIBI,40,BIBI,2021-03-06,4XCMEsPoPT6L8Xcc7h0Seh,0.505,0.722,6,-3.443,0,0.0353,0.000128,0.248,0.243,97.977,201160,4
84,Give More Care Less,사랑하는 사람들을 위한 지침서,BIBI,42,BIBI,2019-06-12,5BgaMwhezsBb5JTUYeVLZ7,0.642,0.455,9,-9.859,0,0.0317,8.62e-06,0.108,0.124,83.527,186750,4
85,When I Get Old,When I Get Old,Christopher,68,CHUNG HA,2022-10-20,5f2CcxzZoW7hNs1O8NhG6y,0.723,0.641,9,-4.17,0,0.0315,0,0.203,0.658,127.418,184828,4
86,Sparkling,"Bare&Rare, Pt. 1",CHUNG HA,57,CHUNG HA,2022-07-11,6TzU11huC8Hz4FVEsvCeE7,0.6,0.923,1,-1.926,0,0.105,0,0.32,0.712,160.025,186907,4
87,XXXX,"Bare&Rare, Pt. 1",CHUNG HA,47,CHUNG HA,2022-07-11,49jIwnU0pAUWorDG4ahISg,0.741,0.662,9,-4.639,1,0.205,0,0.306,0.713,109.953,168000,4
88,Louder,"Bare&Rare, Pt. 1",CHUNG HA,39,CHUNG HA,2022-07-11,4cZvTWcgPyHx2eZb0ruyX3,0.843,0.75,5,-4.942,1,0.0421,0,0.0275,0.835,109.886,179760,4
89,Crazy Like You (feat. BIBI),"Bare&Rare, Pt. 1",CHUNG HA,51,BIBI,2022-07-11,0oUK4m2wNIBPfejlcB1N9k,0.536,0.639,9,-3.999,0,0.0447,0,0.209,0.502,170.94,175480,3
90,California Dream,"Bare&Rare, Pt. 1",CHUNG HA,43,CHUNG HA,2022-07-11,3ulIMvCtahvAmAQHcCbDFs,0.769,0.803,5,-3.501,0,0.115,0,0.0832,0.503,119.923,179227,4
91,Good Night My Princess,"Bare&Rare, Pt. 1",CHUNG HA,39,CHUNG HA,2022-07-11,12QoF5mIoZ1ZrVZFoc2Nwl,0.446,0.475,11,-5.953,1,0.0293,0,0.0859,0.112,139.267,232080,1
