,Unnamed: 0,track,artist,genre,genres
249,249,3PM,Stephanie Poetri,,Pop
250,250,Straight To You,Stephanie Poetri,,Pop
251,251,Touch,Stephanie Poetri,,Pop
252,252,IRL,Stephanie Poetri,,Pop
253,253,How We Used To,Stephanie Poetri,,Pop
254,254,Little Lifetimes,Stephanie Poetri,,Pop
255,255,Daydreaming,Stephanie Poetri,,Pop
256,256,Paranoia,Stephanie Poetri,,Pop
257,257,BOY OF THE YEAR,Warren Hue,,Rap
258,258,WEST,Warren Hue,,"Pop, Indonesia"
259,259,WEST,Warren Hue,,"Pop, Indonesia"
260,260,omomo punk,Warren Hue,,"Pop, R&B"
261,261,Star in Love,Warren Hue,,Rap
262,262,YELLOW,Warren Hue,,"Rap, Indonesia"
263,263,blue jeans,Warren Hue,,Rap
264,264,candy choppa,Warren Hue,,Rap
265,265,omomo punk,Warren Hue,,"Pop, R&B"
266,266,blue jeans,Warren Hue,,Rap
267,267,sugarbaby,Warren Hue,,Rap
268,268,head over heels,Warren Hue,,Rap
269,269,candy choppa,Warren Hue,,Rap
270,270,bye bye sugartown,Warren Hue,,Rap
271,271,lollipop thug,Warren Hue,,Rap
272,272,pluto,Warren Hue,,Rap
273,273,RUNAWAY W ME,Warren Hue,,"Pop, Indonesia"
274,274,HANDSOME,Warren Hue,,"Rap, Indonesia"
275,275,CHORDS AND PRESSURES,Warren Hue,,"Rap, Indonesia, Alternative"
276,276,THIRTYNINE,Warren Hue,,"Rap, Indonesia"
277,277,HANDSOME,Warren Hue,,"Rap, Indonesia"
278,278,DEMOSTAR BEENLIT,Warren Hue,,Rap
279,279,RUNAWAY W ME,Warren Hue,,"Pop, Indonesia"
280,280,JADE,Warren Hue,,"Rap, Hip-Hop"
